Feature,Importance
earnings_med_adjusted,4786101248.0
year,108988904.0
state_OH,1527928.625
state_MI,1470708.75
state_NE,1221712.0
state_MA,942562.4375
state_GA,829057.8125
state_FL,814640.0625
state_TN,804642.75
count_working,761044.875
count_not_working,689986.3125
state_OK,643499.1875
unitid,617462.625
state_CT,576877.8125
pred_degree_awarded_ipeds,562257.5625
state_MD,560420.5
state_LA,529047.125
state_NY,485075.59375
state_PA,411123.28125
state_WI,409281.8125
state_UT,407888.28125
state_SC,336607.75
state_OR,293177.5
state_VA,262921.90625
state_ME,242637.796875
state_IA,219295.21875
state_DC,205702.953125
state_DE,201060.0
state_MO,173793.140625
state_CA,170808.890625
state_NC,143457.9375
state_CO,114993.328125
state_PR,86613.2265625
state_IN,50563.9453125
state_TX,38472.765625
state_KY,32600.9609375
state_NM,25394.75
state_AZ,11574.43359375
state_MS,9537.609375
state_NH,6967.8125
state_NJ,6144.03125
